Equipo,Partidos Ganados de Local,Partidos Empatados de Local,Partidos Perdidos de Local
Aldosivi,30,25,34
All Boys,92,88,78
Almagro,24,22,27
Altos Hornos Zapla,11,13,12
Alvarado,1,2,4
Andino (LR),1,0,2
Arg de Firmat,3,1,0
Argentinos,485,397,377
Arsenal,130,93,80
Atl Ledesma (J),11,9,12
Atl Rafaela,47,39,42
Atl Tucuman,75,50,29
Atl. Concepcion (T),7,3,8
Atlanta,321,207,257
Banfield,370,285,246
Bartolome Mitre (M),1,1,13
Belgrano,153,142,107
Boca Juniors,1005,385,268
Central Cba (R),15,7,8
Central Cba (SdE),9,13,13
Central Norte (S),15,14,16
Chacarita,411,266,285
Chaco For Ever,25,28,30
Cipolletti,14,13,14
Circulo Dep. (O),2,3,6
Colon,360,240,189
Crucero (M),3,5,7
Def y Justicia,41,22,24
Def. de Belgrano,2,4,3
Dep Mandiyu (C),47,58,40
Dep. Armenio,7,16,18
Dep. Español,99,97,84
Dep. Moron,11,9,10
Dep. Roca,6,5,4
Desamparados,12,7,11
Don Orione (CH),4,0,2
Estudiantes (BA),8,10,9
Estudiantes (LP),821,424,353
Estudiantes (RC),2,4,4
Estudiantes (SdE),0,1,6
Ferro,431,393,340
Gimnasia (CdU),1,0,0
Gimnasia (J),99,78,82
Gimnasia (LP),639,403,364
Gimnasia (M),29,21,10
Gimnasia (S),12,23,17
Godoy Cruz,104,55,70
Guarani (M),8,10,11
Huracan,643,364,380
Huracan (C),5,11,10
Huracan (CR),8,6,3
Huracan (IW),4,2,9
Huracan (LH),3,1,0
Huracan (SR),1,8,7
Huracan (TA),3,6,12
Ind Rivadavia,17,17,11
Independiente,867,433,330
Instituto,122,91,68
Jorge Newbery (J),3,6,7
Juv. Alianza (SJ),8,2,9
Juv. Antoniana,8,11,19
Juv. Unida (SL),2,3,2
Kimberley (MdP),12,12,15
Lanus,494,337,308
Loma Negra,8,6,0
Los Andes,46,41,34
Newells,728,450,289
Nueva Chicago,48,50,54
Olimpo,83,66,76
Patronato,28,22,19
Platense,386,331,290
Quilmes,240,181,176
Racing (C),92,70,42
Racing Club,814,444,329
Renato Cesarini (R),5,3,6
River Plate,1022,382,247
Rosario Central,676,421,299
San Lorenzo,868,431,326
San Lorenzo (MdP),25,16,34
San Martin (M),27,24,16
San Martin (SJ),60,36,44
San Martin (T),64,63,62
San Telmo,7,5,12
Santamarina,1,2,2
Sarmiento (J),27,28,35
Sarmiento (R),3,3,1
Sp. Guzman (T),2,3,2
Sp. Italiano,4,7,8
Talleres (C),264,174,116
Talleres (RdE),43,25,48
Temperley,72,72,73
Tigre,237,141,215
Tiro Federal (R),3,5,11
Union,295,240,150
Velez,818,427,352
