local_team,visitor_team,Partido Ganado Local,Partido Empatado Local,Partido Perdido Local,Goles Local,Goles Visita,Resultado
Estudiantes (LP),Velez,1,0,0,2,1,Ganó Local
Independiente,San Lorenzo,1,0,0,2,0,Ganó Local
Independiente,San Lorenzo,1,0,0,2,0,Ganó Local
Independiente,San Lorenzo,1,0,0,2,0,Ganó Local
Independiente,San Lorenzo,1,0,0,3,1,Ganó Local
San Lorenzo,Independiente,1,0,0,3,1,Ganó Local
San Lorenzo,Independiente,1,0,0,2,0,Ganó Local
San Lorenzo,Independiente,1,0,0,3,1,Ganó Local
Independiente,San Lorenzo,1,0,0,9,1,Ganó Local
Independiente,San Lorenzo,1,0,0,2,1,Ganó Local
San Lorenzo,Independiente,1,0,0,3,1,Ganó Local
San Lorenzo,Independiente,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,3,0,Ganó Local
San Lorenzo,Independiente,1,0,0,2,1,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,2,0,Ganó Local
River Plate,Independiente,1,0,0,4,1,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,4,1,Ganó Local
Independiente,River Plate,1,0,0,4,0,Ganó Local
Independiente,River Plate,1,0,0,5,1,Ganó Local
Independiente,San Lorenzo,1,0,0,1,0,Ganó Local
Independiente,San Lorenzo,1,0,0,1,0,Ganó Local
San Lorenzo,Independiente,1,0,0,4,0,Ganó Local
Independiente,San Lorenzo,1,0,0,1,0,Ganó Local
San Lorenzo,Independiente,1,0,0,2,0,Ganó Local
Independiente,San Lorenzo,1,0,0,5,3,Ganó Local
San Lorenzo,Independiente,1,0,0,2,0,Ganó Local
Independiente,San Lorenzo,1,0,0,3,2,Ganó Local
San Lorenzo,Independiente,1,0,0,2,1,Ganó Local
Independiente,San Lorenzo,1,0,0,2,1,Ganó Local
San Lorenzo,Independiente,1,0,0,2,1,Ganó Local
San Lorenzo,Independiente,1,0,0,2,1,Ganó Local
San Lorenzo,Independiente,1,0,0,1,0,Ganó Local
Independiente,San Lorenzo,1,0,0,4,1,Ganó Local
San Lorenzo,Independiente,1,0,0,2,0,Ganó Local
San Lorenzo,Independiente,1,0,0,3,2,Ganó Local
Independiente,San Lorenzo,1,0,0,2,1,Ganó Local
San Lorenzo,Independiente,1,0,0,2,1,Ganó Local
Independiente,San Lorenzo,1,0,0,1,0,Ganó Local
San Lorenzo,Independiente,1,0,0,2,1,Ganó Local
Independiente,San Lorenzo,1,0,0,3,2,Ganó Local
San Lorenzo,Independiente,1,0,0,3,2,Ganó Local
Independiente,San Lorenzo,1,0,0,3,1,Ganó Local
Independiente,San Lorenzo,1,0,0,2,0,Ganó Local
Independiente,San Lorenzo,1,0,0,2,1,Ganó Local
Independiente,San Lorenzo,1,0,0,2,0,Ganó Local
River Plate,Independiente,1,0,0,2,1,Ganó Local
Independiente,River Plate,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,3,2,Ganó Local
River Plate,Independiente,1,0,0,3,1,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,4,3,Ganó Local
Independiente,River Plate,1,0,0,4,3,Ganó Local
Independiente,River Plate,1,0,0,2,0,Ganó Local
Independiente,River Plate,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,7,2,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,4,1,Ganó Local
River Plate,Independiente,1,0,0,3,0,Ganó Local
Independiente,River Plate,1,0,0,5,0,Ganó Local
Independiente,San Lorenzo,1,0,0,2,1,Ganó Local
Independiente,River Plate,1,0,0,3,2,Ganó Local
Independiente,River Plate,1,0,0,2,0,Ganó Local
River Plate,Independiente,1,0,0,4,1,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,2,0,Ganó Local
Independiente,River Plate,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,3,2,Ganó Local
River Plate,Independiente,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,2,0,Ganó Local
River Plate,Independiente,1,0,0,2,1,Ganó Local
Independiente,River Plate,1,0,0,2,1,Ganó Local
River Plate,Independiente,1,0,0,4,3,Ganó Local
Independiente,River Plate,1,0,0,3,2,Ganó Local
River Plate,Independiente,1,0,0,4,3,Ganó Local
River Plate,Independiente,1,0,0,1,0,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
River Plate,Independiente,1,0,0,3,0,Ganó Local
Independiente,River Plate,1,0,0,1,0,Ganó Local
Independiente,River Plate,1,0,0,2,0,Ganó Local
Independiente,River Plate,1,0,0,2,1,Ganó Local
